crop,Fertilizer,Pesticide,Yield,N,P,K,Temperature,Humidity,pH,Rainfall,Soil_Type,crop_encoded,Soil_Type_encoded,N_dev,P_dev,K_dev,pH_dev,soil_Clay,soil_Loamy,soil_Peaty,soil_Saline,soil_Sandy,soil_Silt
maize,1828786.72,5956.96,0.615652174,21.8819650847511,89.2697121056817,38.8338853187976,16.7732176439887,51.1915838486147,8.2682743877506,295.193481858542,Sandy,0,4,0.7722716779660636,0.3658714013210213,0.35512395908617234,1.3455162585003997,False,False,False,False,True,False
potato,7162399.03,23330.29,7.561304348,30.3119859465206,36.287920893246,69.7494417159513,33.4445510099416,48.1402186312049,6.06748880901908,368.523741473816,Saline,1,3,0.848440070267397,0.6958868443821999,1.3025055828404868,0.06748880901908016,False,False,False,True,False,False
rice,57802260.86,188280.98,0.780869565,87.6208265284294,78.747651099529,36.7669928510917,34.9507136705793,39.8893239235897,8.38278459530378,236.749842630335,Silt,2,5,0.6237917347157059,0.6749530219905799,1.0133274027074237,2.3827845953037805,False,False,False,False,False,True
rice,16652275.58,54241.94,1.060434783,44.5836174250526,74.7579978308262,39.3306436649677,35.5399103169886,45.4715774909219,6.60455401788722,198.980950099622,Silt,2,5,1.0541638257494739,0.595159956616524,0.96671556972786,0.60455401788722,False,False,False,False,False,True
rice,165911859.6,540429.51,0.941304348,55.6933474954685,68.5624363057583,26.1095952430093,22.0775541302692,41.3001252255752,5.8228782820903,149.824025160844,Saline,2,3,0.943066525045315,0.47124872611516594,1.207098268308922,0.17712171790970022,False,False,False,True,False,False
sugarcane,2980534.06,9708.58,41.89695652,130.634624070961,67.2045331748393,28.29425168407,33.2468951493707,81.5068356410011,6.56600705856416,83.563684651297,Clay,3,0,0.13059432662762732,0.15590933650321404,0.6064158937811818,0.02200235285471989,True,False,False,False,False,False
wheat,8060708.66,26256.38,1.25952381,69.0747657352742,53.9544020870547,88.0676247040119,17.2618337385269,72.9416522440957,4.63130128467462,302.842638995784,Clay,4,0,0.5910436188727151,0.02091195825890594,0.10084530880014882,2.2108733941567253,True,False,False,False,False,False
maize,47851190.49,155867.07,2.687777778,33.7107641536238,42.9098339023626,71.6299662615007,12.607353613305,68.9660612658977,5.64077008591101,183.16013155668,Clay,0,0,0.6877802560455443,0.2136270762204675,0.10284641337307156,0.4061532760593269,True,False,False,False,False,False
maize,4648483.48,15141.64,1.98,65.3305260738122,22.7689944045428,91.2226378151337,34.779166257764,81.8249033048657,8.2330272688415,381.867980885865,Saline,0,3,0.4619248137584843,0.46538756994321506,0.04786644473179765,1.3220181792276666,False,False,False,True,False,False
maize,926004.1,3016.3,2.165714286,33.336891110826,7.52052423443768,58.5045905101714,42.7737642603717,35.1084599533061,7.39224052501281,186.024549480427,Peaty,0,2,0.6904507777798142,0.655993447069529,0.20381084222945078,0.7614936833418735,False,False,True,False,False,False
rice,98170710.1,319774.3,2.2335,108.417928463268,55.0324406756566,93.4754592837576,13.1402513580794,70.0350603768763,8.07073959636647,379.057689760714,Silt,2,5,0.41582071536732,0.20064881351313205,0.017735623341047297,2.0707395963664705,False,False,False,False,False,True
rice,5128616.13,16705.59,2.073846154,138.61728510106,43.6155111048834,92.8216510278381,31.2763845657583,81.8058684289705,5.08508279409783,328.318366770113,Sandy,2,4,0.11382714898940009,0.02768977790233194,0.005848200506147288,0.91491720590217,False,False,False,False,True,False
rice,25509747.48,83093.64,2.829444444,10.6867833092575,71.786509086873,65.6279430745603,15.3147928756143,67.038408603583,8.14278470664761,83.1788274349315,Sandy,2,4,1.393132166907425,0.5357301817374599,0.4885828531898126,2.1427847066476104,False,False,False,False,True,False
sugarcane,29393920.69,95745.67,91.74736842,15.1693012161913,87.4931812942933,14.3366789661177,14.396288866165,59.2744646909153,6.29629665475507,31.5088358247176,Silt,3,5,1.1802790798528064,0.24986362588586586,0.7333029184898391,0.06790111508164347,False,False,False,False,False,True
wheat,23858928.66,77716.38,0.548333333,70.2952049807772,56.4405535258071,86.6251446700171,16.437202595042,89.1833163683316,6.4477320379056,68.940763927609,Sandy,4,4,0.5808732918268567,0.02881107051614194,0.08281430837521367,0.059665047381999306,False,False,False,False,True,False
maize,1634544.75,5324.25,1.444285714,147.304716068242,31.6218584274022,45.3549079940078,31.9936959633991,97.4244765528382,7.72409235066705,399.404602483592,Peaty,0,2,0.12360511477315705,0.3547267696574725,0.30496224619994,0.9827282337780332,False,False,True,False,False,False
potato,1976109.88,6436.84,8.641428571,131.48190674954,13.3043472884079,29.3444679213772,32.4880333601729,57.7369942886685,5.96056000223148,223.88017163108,Clay,1,0,0.3425904662523,1.0242236101656015,1.706555320786228,0.03943999776852003,True,False,False,False,False,False
rice,10009028.9,32602.7,1.378571429,115.775233493049,67.8951540191959,58.4881980494108,40.8146029651002,79.7190154288701,6.65149409655922,179.746848952808,Silt,2,5,0.34224766506951,0.45790308038391797,0.6183963991016218,0.6514940965592197,False,False,False,False,False,True
