N,P,K,pH,crop,N_class,P_class,K_class,pH_class,crop_encoded
69.0747657352742,53.9544020870548,88.0676247040119,4.631301284674626,wheat,deficient,optimal,optimal,deficient,5
107.32935206465484,70.10213389904699,32.08106652927613,4.761658350431389,tomato,optimal,optimal,deficient,deficient,4
130.63462407096128,67.20453317483934,28.29425168407002,6.5660070585641614,sugarcane,optimal,optimal,deficient,optimal,3
15.169301216191364,87.49318129429336,14.336678966117727,6.296296654755076,sugarcane,deficient,optimal,deficient,optimal,3
21.88196508475118,89.26971210568172,38.833885318797634,8.268274387750605,maize,deficient,optimal,optimal,excess,0
19.6603041053072,6.616577866125726,62.18960744924576,6.442318400815805,tomato,deficient,deficient,deficient,optimal,4
30.31198594652067,36.28792089324604,69.74944171595135,6.06748880901908,potato,deficient,deficient,deficient,optimal,1
33.71076415362381,42.909833902362685,71.62996626150073,5.640770085911013,maize,deficient,optimal,optimal,optimal,0
70.29520498077726,56.440553525807154,86.62514467001711,6.447732037905601,wheat,deficient,optimal,optimal,optimal,5
65.3305260738122,22.768994404542827,91.2226378151337,8.233027268841509,maize,optimal,optimal,optimal,excess,0
33.33689111082607,7.520524234437689,58.50459051017145,7.392240525012818,maize,deficient,deficient,optimal,excess,0
87.62082652842949,78.74765109952908,36.76699285109174,8.382784595303788,rice,deficient,excess,deficient,excess,2
58.21719163705957,47.253634711203446,27.9383164500794,7.628455249377096,sugarcane,deficient,deficient,deficient,optimal,3
147.30471606824293,31.62185842740221,45.35490799400787,7.724092350667057,maize,optimal,optimal,optimal,excess,0
33.0681645136183,14.370276433281298,26.591820848405924,6.616894187701092,tomato,deficient,deficient,deficient,optimal,4
131.48190674954066,13.304347288407978,29.34446792137729,5.960560002231484,potato,optimal,deficient,deficient,optimal,1
19.498481099946773,68.83578940850006,25.207967782644907,7.540587953078828,wheat,deficient,optimal,deficient,excess,5
44.58361742505267,74.75799783082623,39.33064366496773,6.604554017887224,rice,deficient,excess,deficient,excess,2
98.45534326344612,16.764094193646123,77.33936616814545,5.216856542096084,maize,optimal,deficient,optimal,deficient,0
55.69334749546852,68.56243630575838,26.10959524300933,5.8228782820903024,rice,deficient,optimal,deficient,optimal,2
47.4346370114864,78.7766923310782,46.959756568769,6.411790714057908,tomato,deficient,optimal,deficient,optimal,4
108.48250514138556,18.63573901292979,97.59391023675616,6.95246362836839,tomato,optimal,deficient,optimal,excess,4
28.664164543907223,30.29451881110035,51.04670446283006,8.213314498499386,tomato,deficient,deficient,deficient,excess,4
83.62867427022009,41.55579622929814,66.41336978697476,6.01697128013894,maize,optimal,optimal,optimal,optimal,0
70.72668405465888,75.67219252599156,36.64294240389621,5.718630778453486,sugarcane,deficient,optimal,deficient,optimal,3
29.4872559533542,18.52128675250178,77.89910244089471,5.860076388520454,tomato,deficient,deficient,deficient,optimal,4
18.90463039263757,9.157514282441165,84.27871747264395,5.469869186921967,maize,deficient,deficient,optimal,deficient,0
137.92440638595406,33.503446259643795,87.90129408678227,6.847547583198686,wheat,optimal,optimal,optimal,excess,5
108.4179284632689,55.03244067565667,93.47545928375769,8.070739596366472,rice,optimal,optimal,optimal,excess,2
138.61728510106084,43.61551110488346,92.82165102783814,5.085082794097838,rice,optimal,optimal,optimal,deficient,2
77.39256766764821,89.65402248677628,22.31340482333808,7.908738291248843,tomato,deficient,optimal,deficient,excess,4
20.74478015751668,82.71649633112793,68.03468906932335,8.291504748234209,wheat,deficient,excess,optimal,excess,5
123.1269449944694,35.34369023585032,84.60221580726972,5.584522370919891,potato,optimal,deficient,deficient,optimal,1
126.11108160917546,17.775756332446676,81.96751294208381,8.367905588882072,sugarcane,optimal,deficient,optimal,excess,3
46.02174031019253,46.69555047104838,63.25689391162135,4.727681128534024,tomato,deficient,deficient,deficient,deficient,4
12.553599103022592,40.12353989995696,69.19123718914923,6.298496882787888,sugarcane,deficient,deficient,optimal,optimal,3
109.5136160078818,17.141875130897805,28.51134038678433,5.109067827006395,maize,optimal,deficient,optimal,deficient,0
43.12964963218577,65.88980943371679,43.380779674936754,6.75375519147344,potato,deficient,optimal,deficient,excess,1
91.4303076123468,55.79473764458957,85.62736205293444,5.73854239596144,sugarcane,optimal,optimal,optimal,optimal,3
